,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,291,85.30%,50,14.70%,"25,028",79.10%,"6,597",20.90%,"2,390",79.20%,629,20.80%,"2,767",86.80%,419,13.20%,960,82.10%,209,17.90%,"14,980",92.30%,"1,244",7.70%,"2,419",86.30%,383,13.70%,"4,316",85.40%,737,14.60%,"10,356",93.50%,716,6.50%,"8,730",85.70%,"1,458",14.30%,"1,983",88.00%,270,12.00%,"21,334",84.10%,"4,023",15.90%,"3,045",100.00%
Avon and Somerset,3,75.00%,1,25.00%,766,80.70%,183,19.30%,101,84.20%,19,15.80%,66,94.30%,4,5.70%,21,80.80%,5,19.20%,407,94.90%,22,5.10%,57,86.40%,9,13.60%,141,87.60%,20,12.40%,274,91.90%,24,8.10%,245,84.80%,44,15.20%,20,76.90%,6,23.10%,558,89.70%,64,10.30%,119,100.00%
Bedfordshire,3,75.00%,1,25.00%,170,76.60%,52,23.40%,6,85.70%,1,14.30%,34,91.90%,3,8.10%,8,80.00%,2,20.00%,119,92.20%,10,7.80%,13,92.90%,1,7.10%,31,88.60%,4,11.40%,100,90.90%,10,9.10%,58,95.10%,3,4.90%,24,100.00%,0,0.00%,199,77.40%,58,22.60%,46,100.00%
Cambridgeshire,3,100.00%,0,0.00%,317,78.30%,88,21.70%,28,93.30%,2,6.70%,44,89.80%,5,10.20%,7,77.80%,2,22.20%,179,92.30%,15,7.70%,21,84.00%,4,16.00%,44,88.00%,6,12.00%,82,91.10%,8,8.90%,84,88.40%,11,11.60%,18,75.00%,6,25.00%,280,84.80%,50,15.20%,58,100.00%
Cheshire,7,77.80%,2,22.20%,626,85.90%,103,14.10%,57,81.40%,13,18.60%,48,88.90%,6,11.10%,12,100.00%,0,0.00%,401,94.10%,25,5.90%,40,95.20%,2,4.80%,87,80.60%,21,19.40%,214,95.50%,10,4.50%,246,88.80%,31,11.20%,30,90.90%,3,9.10%,501,87.30%,73,12.70%,45,100.00%
Cleveland,7,100.00%,0,0.00%,313,72.10%,121,27.90%,15,71.40%,6,28.60%,77,90.60%,8,9.40%,18,78.30%,5,21.70%,539,94.70%,30,5.30%,42,97.70%,1,2.30%,91,82.00%,20,18.00%,136,93.20%,10,6.80%,114,77.00%,34,23.00%,26,86.70%,4,13.30%,266,91.10%,26,8.90%,29,100.00%
Cumbria,2,100.00%,0,0.00%,267,82.20%,58,17.80%,6,75.00%,2,25.00%,27,84.40%,5,15.60%,6,85.70%,1,14.30%,187,96.90%,6,3.10%,24,92.30%,2,7.70%,59,93.70%,4,6.30%,87,94.60%,5,5.40%,93,87.70%,13,12.30%,11,84.60%,2,15.40%,234,91.40%,22,8.60%,10,100.00%
Derbyshire,2,100.00%,0,0.00%,509,84.70%,92,15.30%,22,100.00%,0,0.00%,37,90.20%,4,9.80%,16,94.10%,1,5.90%,328,94.00%,21,6.00%,41,83.70%,8,16.30%,82,83.70%,16,16.30%,173,90.10%,19,9.90%,160,88.40%,21,11.60%,35,87.50%,5,12.50%,395,85.70%,66,14.30%,42,100.00%
Devon and Cornwall,4,80.00%,1,20.00%,502,83.70%,98,16.30%,15,75.00%,5,25.00%,51,86.40%,8,13.60%,17,94.40%,1,5.60%,261,95.30%,13,4.70%,41,93.20%,3,6.80%,93,93.90%,6,6.10%,184,94.80%,10,5.20%,163,89.10%,20,10.90%,25,89.30%,3,10.70%,561,87.50%,80,12.50%,37,100.00%
Dorset,2,100.00%,0,0.00%,361,86.60%,56,13.40%,25,80.60%,6,19.40%,35,97.20%,1,2.80%,8,100.00%,0,0.00%,165,93.80%,11,6.30%,31,88.60%,4,11.40%,78,92.90%,6,7.10%,121,96.00%,5,4.00%,125,89.90%,14,10.10%,27,87.10%,4,12.90%,366,89.70%,42,10.30%,36,100.00%
Durham,1,50.00%,1,50.00%,307,82.70%,64,17.30%,16,84.20%,3,15.80%,49,83.10%,10,16.90%,15,83.30%,3,16.70%,240,93.80%,16,6.30%,20,90.90%,2,9.10%,76,90.50%,8,9.50%,47,92.20%,4,7.80%,102,82.90%,21,17.10%,21,95.50%,1,4.50%,332,94.10%,21,5.90%,10,100.00%
Dyfed Powys,3,100.00%,0,0.00%,220,85.30%,38,14.70%,17,89.50%,2,10.50%,15,88.20%,2,11.80%,2,100.00%,0,0.00%,113,91.10%,11,8.90%,7,87.50%,1,12.50%,43,91.50%,4,8.50%,138,95.80%,6,4.20%,53,93.00%,4,7.00%,8,88.90%,1,11.10%,227,88.70%,29,11.30%,14,100.00%
