,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Northamptonshire,3,100.00%,0,0.00%,351,76.50%,108,23.50%,26,96.30%,1,3.70%,37,77.10%,11,22.90%,10,66.70%,5,33.30%,155,92.30%,13,7.70%,18,90.00%,2,10.00%,49,86.00%,8,14.00%,68,84.00%,13,16.00%,97,89.80%,11,10.20%,39,97.50%,1,2.50%,228,82.30%,49,17.70%,47,100.00%
Northumbria,7,100.00%,0,0.00%,765,72.00%,297,28.00%,118,74.20%,41,25.80%,101,77.10%,30,22.90%,17,81.00%,4,19.00%,579,93.10%,43,6.90%,49,94.20%,3,5.80%,192,85.00%,34,15.00%,164,90.10%,18,9.90%,397,83.60%,78,16.40%,40,88.90%,5,11.10%,527,84.50%,97,15.50%,41,100.00%
North Wales,0,-,0,-,430,83.80%,83,16.20%,46,82.10%,10,17.90%,24,92.30%,2,7.70%,4,100.00%,0,0.00%,271,95.80%,12,4.20%,25,92.60%,2,7.40%,87,89.70%,10,10.30%,114,93.40%,8,6.60%,155,93.40%,11,6.60%,42,85.70%,7,14.30%,472,92.70%,37,7.30%,14,100.00%
North Yorkshire,3,60.00%,2,40.00%,329,81.40%,75,18.60%,14,93.30%,1,6.70%,29,93.50%,2,6.50%,2,100.00%,0,0.00%,239,91.60%,22,8.40%,19,90.50%,2,9.50%,73,81.10%,17,18.90%,101,93.50%,7,6.50%,133,89.30%,16,10.70%,15,71.40%,6,28.60%,358,91.10%,35,8.90%,25,100.00%
Nottinghamshire,10,90.90%,1,9.10%,610,79.70%,155,20.30%,108,76.60%,33,23.40%,42,79.20%,11,20.80%,23,85.20%,4,14.80%,398,94.50%,23,5.50%,43,76.80%,13,23.20%,106,84.10%,20,15.90%,273,95.80%,12,4.20%,242,84.60%,44,15.40%,37,100.00%,0,0.00%,367,92.00%,32,8.00%,58,100.00%
South Wales,3,75.00%,1,25.00%,998,77.80%,284,22.20%,83,69.20%,37,30.80%,92,91.10%,9,8.90%,18,64.30%,10,35.70%,638,94.50%,37,5.50%,120,95.20%,6,4.80%,164,86.30%,26,13.70%,439,93.40%,31,6.60%,327,79.00%,87,21.00%,65,81.30%,15,18.80%,607,80.80%,144,19.20%,30,100.00%
South Yorkshire,6,85.70%,1,14.30%,588,76.10%,185,23.90%,23,76.70%,7,23.30%,106,89.10%,13,10.90%,42,75.00%,14,25.00%,439,94.40%,26,5.60%,40,95.20%,2,4.80%,162,90.00%,18,10.00%,245,90.70%,25,9.30%,221,88.00%,30,12.00%,24,72.70%,9,27.30%,421,89.60%,49,10.40%,63,100.00%
Staffordshire,6,85.70%,1,14.30%,481,81.10%,112,18.90%,48,78.70%,13,21.30%,67,84.80%,12,15.20%,8,72.70%,3,27.30%,303,93.50%,21,6.50%,32,94.10%,2,5.90%,105,89.70%,12,10.30%,187,93.50%,13,6.50%,129,84.30%,24,15.70%,37,97.40%,1,2.60%,378,87.50%,54,12.50%,71,100.00%
Suffolk,3,75.00%,1,25.00%,300,85.70%,50,14.30%,18,90.00%,2,10.00%,17,85.00%,3,15.00%,5,100.00%,0,0.00%,155,97.50%,4,2.50%,15,78.90%,4,21.10%,54,90.00%,6,10.00%,100,92.60%,8,7.40%,80,92.00%,7,8.00%,10,62.50%,6,37.50%,265,88.30%,35,11.70%,19,100.00%
Surrey,1,100.00%,0,0.00%,349,76.00%,110,24.00%,33,73.30%,12,26.70%,25,78.10%,7,21.90%,5,83.30%,1,16.70%,106,91.40%,10,8.60%,26,81.30%,6,18.80%,39,86.70%,6,13.30%,122,94.60%,7,5.40%,66,80.50%,16,19.50%,19,100.00%,0,0.00%,355,91.70%,32,8.30%,37,100.00%
Sussex,2,100.00%,0,0.00%,616,77.30%,181,22.70%,64,75.30%,21,24.70%,50,87.70%,7,12.30%,11,84.60%,2,15.40%,217,91.90%,19,8.10%,38,79.20%,10,20.80%,84,79.20%,22,20.80%,171,97.20%,5,2.80%,141,84.40%,26,15.60%,29,96.70%,1,3.30%,439,85.90%,72,14.10%,43,100.00%
Thames Valley,8,100.00%,0,0.00%,763,80.60%,184,19.40%,91,77.80%,26,22.20%,89,85.60%,15,14.40%,22,66.70%,11,33.30%,495,94.30%,30,5.70%,58,77.30%,17,22.70%,116,92.80%,9,7.20%,331,93.80%,22,6.20%,226,82.80%,47,17.20%,54,87.10%,8,12.90%,742,91.50%,69,8.50%,70,100.00%
Warwickshire,1,50.00%,1,50.00%,147,82.60%,31,17.40%,24,63.20%,14,36.80%,28,93.30%,2,6.70%,5,71.40%,2,28.60%,104,87.40%,15,12.60%,16,88.90%,2,11.10%,32,88.90%,4,11.10%,55,94.80%,3,5.20%,52,81.30%,12,18.80%,10,76.90%,3,23.10%,216,83.40%,43,16.60%,29,100.00%
West Mercia,9,81.80%,2,18.20%,477,81.50%,108,18.50%,45,68.20%,21,31.80%,29,90.60%,3,9.40%,10,100.00%,0,0.00%,281,94.30%,17,5.70%,33,76.70%,10,23.30%,89,88.10%,12,11.90%,136,93.20%,10,6.80%,145,87.90%,20,12.10%,21,84.00%,4,16.00%,458,84.30%,85,15.70%,31,100.00%
West Midlands,25,71.40%,10,28.60%,1798,80.30%,442,19.70%,159,74.30%,55,25.70%,188,83.60%,37,16.40%,98,77.80%,28,22.20%,1124,91.50%,104,8.50%,182,79.80%,46,20.20%,245,83.90%,47,16.10%,603,92.90%,46,7.10%,714,86.50%,111,13.50%,172,83.50%,34,16.50%,750,87.30%,109,12.70%,246,100.00%
West Yorkshire,10,76.90%,3,23.10%,1311,76.50%,402,23.50%,183,73.20%,67,26.80%,146,89.00%,18,11.00%,61,77.20%,18,22.80%,643,92.50%,52,7.50%,88,88.00%,12,12.00%,258,87.50%,37,12.50%,360,92.80%,28,7.20%,326,84.70%,59,15.30%,98,88.30%,13,11.70%,1029,83.00%,211,17.00%,132,100.00%
Wiltshire,0,-,0,-,322,86.10%,52,13.90%,22,66.70%,11,33.30%,36,90.00%,4,10.00%,4,100.00%,0,0.00%,220,98.20%,4,1.80%,35,97.20%,1,2.80%,56,87.50%,8,12.50%,83,95.40%,4,4.60%,74,90.20%,8,9.80%,13,86.70%,2,13.30%,194,91.10%,19,8.90%,22,100.00%
